# bankSEC	value	dateBegin	dateEnd
http://edgarwrap-hrd.appspot.com/cik/872821#id	-9100000	2009-04-01	2009-06-30
http://edgarwrap-hrd.appspot.com/cik/872821#id	-145600000	2010-01-01	2010-06-30
http://edgarwrap-hrd.appspot.com/cik/872821#id	12700000	2009-01-01	2009-06-30
http://edgarwrap-hrd.appspot.com/cik/872821#id	-116400000	2010-04-01	2010-06-30
http://edgarwrap-hrd.appspot.com/cik/872821#id	-145600000	2010-01-01	2010-06-30
http://edgarwrap-hrd.appspot.com/cik/872821#id	12700000	2009-01-01	2009-06-30
http://edgarwrap-hrd.appspot.com/cik/701853#id	-12560000	2010-04-01	2010-06-30
http://edgarwrap-hrd.appspot.com/cik/701853#id	33867000	2009-04-01	2009-06-30
http://edgarwrap-hrd.appspot.com/cik/701853#id	-4164000	2010-01-01	2010-06-30
http://edgarwrap-hrd.appspot.com/cik/701853#id	63344000	2009-01-01	2009-06-30
http://edgarwrap-hrd.appspot.com/cik/22356#id	55885000	2010-07-01	2010-09-30
http://edgarwrap-hrd.appspot.com/cik/22356#id	159789000	2010-01-01	2010-09-30
http://edgarwrap-hrd.appspot.com/cik/22356#id	119453000	2009-01-01	2009-09-30
http://edgarwrap-hrd.appspot.com/cik/22356#id	51649000	2009-07-01	2009-09-30
http://edgarwrap-hrd.appspot.com/cik/701853#id	-494000	2011-01-01	2011-03-31
http://edgarwrap-hrd.appspot.com/cik/701853#id	8396000	2010-01-01	2010-03-31
http://edgarwrap-hrd.appspot.com/cik/22356#id	44170000	2010-01-01	2010-03-31
http://edgarwrap-hrd.appspot.com/cik/22356#id	60453000	2011-01-01	2011-03-31
http://edgarwrap-hrd.appspot.com/cik/35527#id	835000000	2009-01-01	2009-09-30
http://edgarwrap-hrd.appspot.com/cik/35527#id	-56000000	2008-07-01	2008-09-30
http://edgarwrap-hrd.appspot.com/cik/35527#id	29000000	2008-01-01	2008-09-30
http://edgarwrap-hrd.appspot.com/cik/35527#id	-97000000	2009-07-01	2009-09-30
http://edgarwrap-hrd.appspot.com/cik/22356#id	169075000	2009-01-01	2009-12-31
http://edgarwrap-hrd.appspot.com/cik/22356#id	188655000	2008-01-01	2008-12-31
http://edgarwrap-hrd.appspot.com/cik/22356#id	221710000	2010-01-01	2010-12-31
http://edgarwrap-hrd.appspot.com/cik/701853#id	84875000	2009-01-01	2009-09-30
http://edgarwrap-hrd.appspot.com/cik/701853#id	7096000	2010-01-01	2010-09-30
http://edgarwrap-hrd.appspot.com/cik/701853#id	21531000	2009-07-01	2009-09-30
http://edgarwrap-hrd.appspot.com/cik/701853#id	11260000	2010-07-01	2010-09-30
http://edgarwrap-hrd.appspot.com/cik/22356#id	67804000	2009-01-01	2009-06-30
http://edgarwrap-hrd.appspot.com/cik/22356#id	103904000	2010-01-01	2010-06-30
http://edgarwrap-hrd.appspot.com/cik/22356#id	59734000	2010-04-01	2010-06-30
http://edgarwrap-hrd.appspot.com/cik/22356#id	36968000	2009-04-01	2009-06-30
http://edgarwrap-hrd.appspot.com/cik/872821#id	-29200000	2010-01-01	2010-03-31
http://edgarwrap-hrd.appspot.com/cik/872821#id	-33500000	2011-01-01	2011-03-31
http://edgarwrap-hrd.appspot.com/cik/872821#id	-33500000	2011-01-01	2011-03-31
http://edgarwrap-hrd.appspot.com/cik/872821#id	-29200000	2010-01-01	2010-03-31
http://edgarwrap-hrd.appspot.com/cik/7789#id	22853000	2011-01-01	2011-03-31
http://edgarwrap-hrd.appspot.com/cik/7789#id	22853000	2011-01-01	2011-03-31
http://edgarwrap-hrd.appspot.com/cik/7789#id	-26389000	2010-01-01	2010-03-31
http://edgarwrap-hrd.appspot.com/cik/7789#id	-26389000	2010-01-01	2010-03-31
http://edgarwrap-hrd.appspot.com/cik/36270#id	362461000	2008-01-01	2008-06-30
http://edgarwrap-hrd.appspot.com/cik/36270#id	160265000	2008-04-01	2008-06-30
http://edgarwrap-hrd.appspot.com/cik/36270#id	115409000	2009-01-01	2009-06-30
http://edgarwrap-hrd.appspot.com/cik/36270#id	51188000	2009-04-01	2009-06-30
http://edgarwrap-hrd.appspot.com/cik/36270#id	362461000	2008-01-01	2008-06-30
http://edgarwrap-hrd.appspot.com/cik/36270#id	115409000	2009-01-01	2009-06-30
http://edgarwrap-hrd.appspot.com/cik/872821#id	6800000	2009-01-01	2009-09-30
http://edgarwrap-hrd.appspot.com/cik/872821#id	6800000	2009-01-01	2009-09-30
http://edgarwrap-hrd.appspot.com/cik/872821#id	-510900000	2010-01-01	2010-09-30
http://edgarwrap-hrd.appspot.com/cik/872821#id	-365300000	2010-07-01	2010-09-30
http://edgarwrap-hrd.appspot.com/cik/872821#id	-510900000	2010-01-01	2010-09-30
http://edgarwrap-hrd.appspot.com/cik/872821#id	-5900000	2009-07-01	2009-09-30
http://edgarwrap-hrd.appspot.com/cik/7789#id	-29168000	2010-01-01	2010-06-30
http://edgarwrap-hrd.appspot.com/cik/7789#id	-17341000	2009-04-01	2009-06-30
http://edgarwrap-hrd.appspot.com/cik/7789#id	-29168000	2010-01-01	2010-06-30
http://edgarwrap-hrd.appspot.com/cik/7789#id	-2779000	2010-04-01	2010-06-30
http://edgarwrap-hrd.appspot.com/cik/7789#id	25384000	2009-01-01	2009-06-30
http://edgarwrap-hrd.appspot.com/cik/7789#id	25384000	2009-01-01	2009-06-30
